wavelength_nm,value
250,112736
252,112736
254,112736
256,113824
258,115040
260,116296
262,117564
264,118876
266,120208
268,121544
270,122880
272,123096
274,121952
276,120808
278,119840
280,118872
282,117628
284,114820
286,112008
288,107140
290,98364
292,91636
294,85820
296,77100
298,69444
300,64440
302,61300
304,58828
306,56908
308,57620
310,59156
312,62248
314,65344
316,68312
318,71208
320,74508
322,78284
324,82060
326,85592
328,88516
330,90856
332,93192
334,95532
336,99792
338,104476
340,108472
342,110996
344,113524
346,116052
348,118752
350,122092
352,125436
354,128776
356,132120
358,133632
360,134940
362,136044
364,136972
366,137900
368,138856
370,139968
372,141084
374,142196
376,143312
378,144424
380,145232
382,145232
384,148668
386,153908
388,159544
390,167780
392,180004
394,191540
396,202124
398,212712
400,223296
