lambda_nm,HbO2_cm-1_M,Hb_cm-1_M
250.0,106112.0,112736.0
252.0,105552.0,112736.0
254.0,107660.0,112736.0
256.0,109788.0,113824.0
258.0,112944.0,115040.0
260.0,116376.0,116296.0
262.0,120188.0,117564.0
264.0,124412.0,118876.0
266.0,128696.0,120208.0
268.0,133064.0,121544.0
270.0,136068.0,122880.0
272.0,137232.0,123096.0
274.0,138408.0,121952.0
276.0,137424.0,120808.0
278.0,135820.0,119840.0
280.0,131936.0,118872.0
282.0,127720.0,117628.0
284.0,122280.0,114820.0
286.0,116508.0,112008.0
288.0,108484.0,107140.0
290.0,104752.0,98364.0
292.0,98936.0,91636.0
294.0,88136.0,85820.0
296.0,79316.0,77100.0
298.0,70884.0,69444.0
300.0,65972.0,64440.0
302.0,63208.0,61300.0
304.0,61952.0,58828.0
306.0,62352.0,56908.0
308.0,62856.0,57620.0
310.0,63352.0,59156.0
312.0,65972.0,62248.0
314.0,69016.0,65344.0
316.0,72404.0,68312.0
318.0,75536.0,71208.0
320.0,78752.0,74508.0
322.0,82256.0,78284.0
324.0,85972.0,82060.0
326.0,89796.0,85592.0
328.0,93768.0,88516.0
330.0,97512.0,90856.0
332.0,100964.0,93192.0
334.0,103504.0,95532.0
336.0,104968.0,99792.0
338.0,106452.0,104476.0
340.0,107884.0,108472.0
342.0,109060.0,110996.0
344.0,110092.0,113524.0
346.0,109032.0,116052.0
348.0,107984.0,118752.0
350.0,106576.0,122092.0
352.0,105040.0,125436.0
354.0,103696.0,128776.0
356.0,101568.0,132120.0
358.0,97828.0,133632.0
360.0,94744.0,134940.0
362.0,92248.0,136044.0
364.0,89836.0,136972.0
366.0,88484.0,137900.0
368.0,87512.0,138856.0
370.0,88176.0,139968.0
372.0,91592.0,141084.0
374.0,95140.0,142196.0
376.0,98936.0,143312.0
378.0,103432.0,144424.0
380.0,109564.0,145232.0
382.0,116968.0,145232.0
384.0,125420.0,148668.0
386.0,135132.0,153908.0
388.0,148100.0,159544.0
390.0,167748.0,167780.0
392.0,189740.0,180004.0
394.0,212060.0,191540.0
396.0,231612.0,202124.0
398.0,248404.0,212712.0
400.0,266232.0,223296.0
402.0,284224.0,236188.0
404.0,308716.0,253368.0
406.0,354208.0,270548.0
408.0,422320.0,287356.0
410.0,466840.0,303956.0
412.0,500200.0,321344.0
414.0,524280.0,342596.0
416.0,521880.0,363848.0
418.0,515520.0,385680.0
420.0,480360.0,407560.0
422.0,431880.0,429880.0
424.0,376236.0,461200.0
426.0,326032.0,481840.0
428.0,283112.0,500840.0
430.0,246072.0,528600.0
432.0,214120.0,552160.0
434.0,165332.0,552160.0
436.0,132820.0,547040.0
438.0,119140.0,501560.0
440.0,102580.0,413280.0
442.0,92780.0,363240.0
444.0,81444.0,282724.0
446.0,76324.0,237224.0
448.0,67044.0,173320.0
450.0,62816.0,103292.0
452.0,58864.0,62640.0
454.0,53552.0,36170.0
456.0,49496.0,30698.8
458.0,47496.0,25886.4
460.0,44480.0,23388.8
462.0,41320.0,20891.2
464.0,39807.2,19260.8
466.0,37073.2,18142.4
468.0,34870.8,17025.6
470.0,33209.2,16156.4
472.0,31620.0,15310.0
474.0,30113.6,15048.4
476.0,28850.8,14792.8
478.0,27718.0,14657.2
480.0,26629.2,14550.0
482.0,25701.6,14881.2
484.0,25180.4,15212.4
486.0,24669.6,15543.6
488.0,24174.8,15898.0
490.0,23684.4,16684.0
492.0,23086.8,17469.6
494.0,22457.6,18255.6
496.0,21850.4,19041.2
498.0,21260.0,19891.2
500.0,20932.8,20862.0
502,20596.4,21832.8
504,20418,22803.6
506,19946,23774.4
508,19996,24745.2
510,20035.2,25773.6
512,20150.4,26936.8
514,20429.2,28100
516,21001.6,29263.2
518,22509.6,30426.4
520,24202.4,31589.6
522,26450.4,32851.2
524,29269.2,34397.6
526,32496.4,35944
528,35990,37490
530,39956.8,39036.4
532,43876,40584
534,46924,42088
536,49752,43592
538,51712,45092
540,53236,46592
542,53292,48148
544,52096,49708
546,49868,51268
548,46660,52496
550,43016,53412
552,39675.2,54080
554,36815.2,54520
556,34476.8,54540
558,33456,54164
560,32613.2,53788
562,32620,52276
564,33915.6,50572
566,36495.2,48828
568,40172,46948
570,44496,45072
572,49172,43340
574,53308,41716
576,55540,40092
578,54728,38467.6
580,50104,37020
582,43304,35676.4
584,34639.6,34332.8
586,26600.4,32851.6
588,19763.2,31075.2
590,14400.8,28324.4
